"Abbrev","Full Title","Trnsl. Title","Publ.","Relat. Jrl.","ISSN","New","High Density","Book Ser","Video Ser","Bibl. Jrl."
"Jnanabha","Jnanabha","","Vijnana Parishad of India, Orai.","","0304-9892","N","N","N","N","N"
"Johns Hopkins Stud. Hist. Math.","Johns Hopkins Studies in the History of Mathematics","","Johns Hopkins Univ. Press, Baltimore, MD.","","","N","N","Y","N","N"
"Johns Hopkins Stud. Math. Sci.","Johns Hopkins Studies in the Mathematical Sciences","","Johns Hopkins Univ. Press, Baltimore, MD.","","","N","N","Y","N","N"
"JP J. Algebra Number Theory Appl.","JP Journal of Algebra, Number Theory and Applications","","Pushpa, Allahabad.","","0972-5555","N","Y","N","N","N"
"JP J. Fixed Point Theory Appl.","JP Journal of Fixed Point Theory and Applications","","Pushpa, Allahabad.","","0973-4228","N","Y","N","N","N"
"JP J. Geom. Topol.","JP Journal of Geometry and Topology","","Pushpa, Allahabad.","","0972-415X","N","Y","N","N","N"
"Jpn. Econ. Rev.","The Japanese Economic Review. The Journal of the Japanese Economic Association","","Wiley-Blackwell, Richmond.","","1352-4739","N","N","N","N","N"
"Jpn. J. Behaviormetrics","The Japanese Journal of Behaviormetrics","","Behav. Soc. Japan, Chiba.","","0385-5481","N","N","N","N","N"
"Jpn. J. Ind. Appl. Math.","Japan Journal of Industrial and Applied Mathematics","","Springer, Tokyo.","","0916-7005","N","Y","N","N","N"
"Jpn. J. Math.","Japanese Journal of Mathematics","","Springer Japan, Tokyo.","","0289-2316","N","Y","N","N","N"
"JPSS J. Probab. Stat. Sci.","JPSS. Journal of Probability and Statistical Science","","Susan Rivers' Cultural Institute, Hsinchu.","","1726-3328","N","N","N","N","N"
"Kharkov Ser. Phys. Math.","Kharkov Series in Physics and Mathematics","","Camb. Sci. Publ., Cambridge.","","","Y","N","Y","N","N"
"Kibern. Vychisl. Tekhn.","Kibernetika i Vychislitelnaya Tekhnika","","Nats. Akad. Nauk Ukr. Inst. Kibern. im. V. M. Glushkova, Kiev.","","0452-9910","N","N","N","N","N"
"Kibernet. Sistem. Anal.","Natsionalnaya Akademiya Nauk Ukrainy. Institut Kibernetiki im. V. M. Glushkova. Kibernetika i Sistemnyi Analiz","","Nats. Akad. Nauk Ukr. Inst. Kibern. im. V. M. Glushkova, Kiev.","Translated in Cybernet. Systems Anal.","0023-1274","N","N","N","N","N"
"Kinet. Relat. Models","Kinetic and Related Models","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","1937-5093","N","Y","N","N","N"
"Kinki Univ. Ser. Quantum Comput.","Kinki University Series on Quantum Computing","","World Sci. Publ., Hackensack, NJ.","","1793-7299","N","N","Y","N","N"
"Klass. Sovrem.","Klassika i Sovremennost","Classical and Contemporary Works","FIZMATLIT, Moscow.","","","Y","N","Y","N","N"
"Klassiki Nauki","Klassiki Nauki","Classics of Science","``Nauka'', Moscow.","","","N","N","Y","N","N"
"Klostermann RoteReihe","Klostermann RoteReihe","Klostermann Red Series","Klostermann, Frankfurt am Main.","","1865-7095","N","N","Y","N","N"
"Kobe J. Math.","Kobe Journal of Mathematics","","Kobe Univ., Kobe.","","0289-9051","N","Y","N","N","N"
"Kochi J. Math.","Kochi Journal of Mathematics","","Kochi Univ., Kochi.","","1880-5515","N","Y","N","N","N"
"Kodai Math. J.","Kodai Mathematical Journal","","Tokyo Inst. Tech., Tokyo.","","0386-5991","N","Y","N","N","N"
"KoG","KoG","","Croat. Soc. Geom. Graph., Zagreb.","","1331-1611","N","N","N","N","N"
"Konferencje","Konferencje","Conference","Oficyna Wydawn. Politech. Wroclaw., Wroclaw.","See also Prace Nauk. Inst. Mat. Inform. Politech. Wroc.","","N","N","Y","N","N"
"Kongzhi yu Juece","","","","See Control Decis.","","N","N","N","N","N"
"Korean Ann. Math.","Korean Annals of Mathematics","","Honam Math. Soc., Jeonju.","","1229-1277","N","Y","N","N","N"
"Korean J. Appl. Statist.","Korean Journal of Applied Statistics. Ungyong T'ongkye Yonku","","Korean Statist. Soc., Seoul.","","1225-066X","N","N","N","N","N"
"Kragujevac J. Math.","Kragujevac Journal of Mathematics","","Univ. Kragujevac, Kragujevac.","","1450-9628","N","N","N","N","N"
"Kumamoto J. Math.","Kumamoto Journal of Mathematics","","Kumamoto Univ., Kumamoto.","","0914-675X","N","Y","N","N","N"
"Kuwait J. Sci. Engrg.","Kuwait Journal of Science & Engineering. An International Journal of the University of Kuwait","","Kuwait Univ., Khaldiya.","","1024-8684","N","N","N","N","N"
"Kybernetes","Kybernetes. The International Journal of Cybernetics, Systems and Management Sciences","","Emerald Group Publ, Ltd., Bingley.","","0368-492X","N","N","N","N","N"
"Kybernetika (Prague)","Kybernetika","","Acad. Sci. Czech Repub., Prague.","","0023-5954","N","N","N","N","N"
"Kyoto J. Math.","Kyoto Journal of Mathematics","","Duke Univ. Press, Durham, NC.","","2156-2261","N","Y","N","N","N"
"Kyungpook Math. J.","Kyungpook Mathematical Journal","","Kyungpook Nat. Univ., Taegu.","","1225-6951","N","Y","N","N","N"
"Kyushu J. Math.","Kyushu Journal of Mathematics","","Kyushu Univ., Fukuoka.","","1340-6116","N","Y","N","N","N"
"Lanzhou Daxue Xuebao Ziran Kexue Ban","","","","See J. Lanzhou Univ. Nat. Sci.","","N","N","N","N","N"
"Le Sel et le Fer","Le Sel et le Fer","Salt and Iron","Cassini, Paris.","","","N","N","Y","N","N"
"Learn. Doing Soc. Cogn. Comput. Perspect.","Learning in Doing: Social, Cognitive, and Computational Perspectives","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Lect. Mat.","Lecturas Matematicas","","Soc. Colombiana Mat., Bogota.","","0120-1980","N","Y","N","N","N"
"Lect. Notes Appl. Comput. Mech.","Lecture Notes in Applied and Computational Mechanics","","Springer, New York.","","1613-7736","N","N","Y","N","N"
"Lect. Notes Comput. Sci. Eng.","Lecture Notes in Computational Science and Engineering","","Springer, Heidelberg.","","1439-7358","N","N","Y","N","N"
"Lect. Notes Electr. Eng.","Lecture Notes in Electrical Engineering","","Springer, New York.","","1876-1100","N","N","Y","N","N"
"Lect. Notes in Bioinform.","Lecture Notes in Bioinformatics","","Springer, Berlin.","See also Lecture Notes in Comput. Sci.","","N","N","Y","N","N"
"Lect. Notes Log.","Lecture Notes in Logic","","Assoc. Symbol. Logic, Chicago, IL.","","","N","N","Y","N","N"
"Lect. Notes Nonlinear Anal.","Lecture Notes in Nonlinear Analysis","","Juliusz Schauder Cent. Nonlinear Stud., Torun.","","2082-4335","N","N","Y","N","N"
"Lect. Notes Numer. Methods Eng. Sci.","Lecture Notes on Numerical Methods in Engineering and Sciences","","Internat. Center Numer. Methods Eng. (CIMNE), Barcelona.","","1877-7341","Y","N","Y","N","N"
"Lect. Notes Pure Appl. Math.","Lecture Notes in Pure and Applied Mathematics","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Lect. Notes Semin. Interdiscip. Mat.","Lecture Notes of Seminario Interdisciplinare di Matematica","","Semin. Interdiscip. Mat. (S.I.M.), Potenza.","","","N","N","Y","N","N"
"Lect. Notes Ser. Inst. Math. Sci. Natl. Univ. Singap.","Lecture Notes Series. Institute for Mathematical Sciences. National University of Singapore","","World Sci. Publ., Hackensack, NJ.","","1793-0758","N","N","Y","N","N"
"Lect. Notes Stat. Proc.","Lecture Notes in Statistics---Proceedings","","Springer, New York.","See also Lecture Notes in Statist.","","N","N","Y","N","N"
"Lect. Notes TICMI","Lecture Notes of Tbilisi International Centre of Mathematics and Informatics","","Tbilisi Univ. Press, Tbilisi.","","1512-0511","N","N","N","N","N"
"Lect. Notes Unione Mat. Ital.","Lecture Notes of the Unione Matematica Italiana","","Springer, Heidelberg.","","1862-9113","N","N","Y","N","N"
"Lecture Notes in Artificial Intelligence","Lecture Notes in Artificial Intelligence","","Springer, Berlin.","See also Lecture Notes in Comput. Sci.","","N","N","Y","N","N"
"Lecture Notes in Comput. Sci.","Lecture Notes in Computer Science","","Springer, Heidelberg.","See also Lect. Notes in Bioinform. and Lecture Notes in Artificial Intelligence","0302-9743","N","N","Y","N","N"
"Lecture Notes in Control and Inform. Sci.","Lecture Notes in Control and Information Sciences","","Springer, Berlin.","","0170-8643","N","N","Y","N","N"
"Lecture Notes in Econom. and Math. Systems","Lecture Notes in Economics and Mathematical Systems","","Springer, Heidelberg.","","0075-8442","N","N","Y","N","N"
"Lecture Notes in Math.","Lecture Notes in Mathematics","","Springer, Heidelberg.","See also Ec. Ete Probab. St.-Flour; Hist. Math. Subser.;  Math. Biosci. Subser.","0075-8434","N","N","Y","N","N"
"Lecture Notes in Phys.","Lecture Notes in Physics","","Springer, Heidelberg.","","0075-8450","N","N","Y","N","N"
"Lecture Notes in Statist.","Lecture Notes in Statistics","","Springer, New York.","See also Lect. Notes Stat. Proc.","0930-0325","N","N","Y","N","N"
"Lectures Math. ETH Zurich","Lectures in Mathematics ETH Zurich","","Birkhauser, Basel.","","","N","N","Y","N","N"
"Leitfaden Inform.","Leitfaden der Informatik","Basic Textbooks in Computer Science","Teubner, Stuttgart.","","","N","N","Y","N","N"
"Lett. Mat. Pristem","Lettera Matematica Pristem","","Springer Italia, Milan.","","1593-5884","N","N","N","N","N"
"Lett. Math. Phys.","Letters in Mathematical Physics. A Journal for the Rapid Dissemination of Short Contributions in the Field of Mathematical Physics","","Springer, Dordrecht.","","0377-9017","N","Y","N","N","N"
"Liaoning Daxue Xuebao Ziran Kexue Ban","","","","See J. Liaoning Univ. Nat. Sci.","","N","N","N","N","N"
"Libertas Math.","Libertas Mathematica","","Amer. Roman. Acad. Arts Sci. Publ., Arlington, TX.","","0278-5307","N","Y","N","N","N"
"Lifetime Data Anal.","Lifetime Data Analysis. An International Journal Devoted to Statistical Methods and Applications for Time-to-Event Data","","Springer, Norwell, MA.","","1380-7870","N","N","N","N","N"
"Linear Algebra Appl.","Linear Algebra and its Applications","","Elsevier, Oxford.","","0024-3795","N","Y","N","N","N"
"Linear Multilinear Algebra","Linear and Multilinear Algebra","","Taylor & Francis, Abingdon.","","0308-1087","N","Y","N","N","N"
"Linear Oper. Linear Syst.","Linear Operators and Linear Systems","","Birkhauser Verlag, Basel.","See also Oper. Theory Adv. Appl.","","N","N","Y","N","N"
"Lipsey Lect.","Lipsey Lectures","","Oxford Univ. Press, Oxford.","","","N","N","Y","N","N"
"Lith. Math. J.","Lithuanian Mathematical Journal","","Springer, New York.","","0363-1672","N","Y","N","N","N"
"LLULL","LLULL. Revista de la Sociedad Espanola de Historia de las Ciencias y de las Tecnicas","","Soc. Esp. Hist. Cienc. Tec., Zaragoza.","","0210-8615","N","N","N","N","N"
"LMS J. Comput. Math.","LMS Journal of Computation and Mathematics","","London Math. Soc., London.","","1461-1570","N","Y","N","N","N"
"Lobachevskii J. Math.","Lobachevskii Journal of Mathematics","","MAIK ``Nauka/Interperiodika'', Moscow.","","1995-0802","N","Y","N","N","N"
"Log. Epistemol. Unity Sci.","Logic, Epistemology, and the Unity of Science","","Springer, New York.","","","N","N","Y","N","N"
"Log. Issled.","Logicheskie Issledovaniya","Logical Investigations","Ross. Akad. Nauk, Inst. Filos., Moscow.","","2074-1472","Y","N","Y","N","N"
"Log. J. IGPL","Logic Journal of the IGPL. Interest Group in Pure and Applied Logics","","Oxford Univ. Press, Oxford.","","1367-0751","N","Y","N","N","N"
"Log. Log. Philos.","Logic and Logical Philosophy","","N. Copernicus Univ. Sci. Publ. House, Torun.","Formerly Logic Log. Philos.","1425-3305","Y","N","N","N","N"
"Log. Methods Comput. Sci.","Logical Methods in Computer Science","","Log. Methods Comput. Sci., Braunschweig.","","1860-5974","N","Y","N","N","N"
"Log. Univers.","Logica Universalis","","Birkhauser, Basel.","","1661-8297","N","Y","N","N","N"
"Logic Log. Philos.","Logic and Logical Philosophy","","N. Copernicus Univ. Press, Torun.","Continued as Log. Log. Philos.","1425-3305","N","N","N","N","N"
"Logique et Anal. (N.S.)","Logique et Analyse. Nouvelle Serie","","Centre Nat. Belge Recherches de Logique, Brussels.","","0024-5836","N","Y","N","N","N"
"Logos","Logos. Studien zur Logik, Sprachphilosophie und Metaphysik","Logos. Studies on Logic, Philosophy of Language and Metaphysics","Ontos Verlag, Heusenstamm.","","","N","N","Y","N","N"
"London Math. Soc. Lecture Note Ser.","London Mathematical Society Lecture Note Series","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"London Math. Soc. Monogr. Ser.","London Mathematical Society Monographs Series","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"London Math. Soc. Stud. Texts","London Mathematical Society Student Texts","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"M. B. Porter Lectures","M. B. Porter Lectures","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"M2AN Math. Model. Numer. Anal.","M2AN. Mathematical Modelling and Numerical Analysis","","EDP Sci., Les Ulis.","Continued as ESAIM Math. Model. Numer. Anal.","0764-583X","N","Y","N","N","N"
"MAA Guides","MAA Guides","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"MAA Notes","MAA Notes","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"MAA Spectrum","MAA Spectrum","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"MAA Textb.","MAA Textbooks","","Math. Assoc. America, Washington, DC.","","","N","N","Y","N","N"
"Mainz. Stud. Buchwiss.","Mainzer Studien zur Buchwissenschaft","Mainz Studies in Book Sciences","Harrassowitz, Wiesbaden.","","0946-090X","N","N","Y","N","N"
"Major Amer. Univ. Ph.D. Qualif. Questions Solut.","Major American Universities Ph.D. Qualifying Questions and Solutions","","World Sci. Publ., River Edge, NJ.","Continued as Major Amer. Univ. Ph.D. Qualif. Quest. Solut. Math.","","N","N","Y","N","N"
"Major Amer. Univ. Ph.D. Qualif. Quest. Solut. Math.","Major American Universities Ph.D. Qualifying Questions and Solutions---Mathematics","","World Sci. Publ., Hackensack, NJ.","Formerly Major Amer. Univ. Ph.D. Qualif. Questions Solut.","","Y","N","Y","N","N"
"Makedon. Akad. Nauk. Umet. Oddel. Mat.-Tehn. Nauk. Prilozi","Makedonska Akademija na Naukite i Umetnostite. Oddelenie za Matematicko-Tehnicki Nauki. Prilozi","","Macedonian Acad. Sci. Arts, Skopje.","","0351-3246","N","N","N","N","N"
"Malays. J. Math. Sci.","Malaysian Journal of Mathematical Sciences","","Univ. Putra Malays., Inst. Math. Res., Serdang.","","1823-8343","Y","N","N","N","N"
"Manuscripta Math.","Manuscripta Mathematica","","Springer, Berlin.","","0025-2611","N","Y","N","N","N"
"Markov Process. Related Fields","Markov Processes and Related Fields","","Polymat, Moscow.","","1024-2953","N","Y","N","N","N"
"MAT Ser. A Conf. Semin. Trab. Mat.","MAT. Serie A: Conferencias, Seminarios y Trabajos de Matematica","MAT. Series A: Mathematical Conferences, Seminars and Papers","Univ. Austral, Rosario.","","1515-4904","N","N","Y","N","N"
"Mat. Apl. Ind.","Matematica Aplicata si Industriala","Applied and Industrial Mathematics","Editura Pamantul, Pitesti.","","","N","N","Y","N","N"
"Mat. Bilten","Matematichki Bilten. Bulletin Mathematique de la Societe des Mathematiciens de la Republique de Macedoine","","Sojuz Drush. Mat. Inform. Maked., Skopje.","","0351-336X","N","Y","N","N","N"
"Mat. Contemp.","Matematica Contemporanea","","Soc. Brasil. Mat., Rio de Janeiro.","","0103-9059","N","Y","N","N","N"
"Mat. Ensen. Univ. (N. S.)","Matematicas. Ensenanza Universitaria","","Univ. Valle, Cali.","","0120-6788","N","N","N","N","N"
"Mat. Lapok (N.S.)","Matematikai Lapok. New Series","","Janos Bolyai Math. Soc., Budapest.","","0025-519X","N","N","N","N","N"
"Mat. Metodi Fiz.-Mekh. Polya","Matematichni Metodi ta Fiziko-Mekhanichni Polya. Matematicheskie Metody i Fiziko-Mekhanicheskie Polya. Mathematical Methods and Physicomechanical Fields","","Nats. Akad. Nauk Ukraini, Inst. Prikl. Probl. Mekh. Mat. im. Ya. S. Pidstrigacha, Lviv.","Translated in J. Math. Sci. (N. Y.)","0130-9420","N","N","N","N","N"
"Mat. Model.","Rossiiskaya Akademiya Nauk. Matematicheskoe Modelirovanie","","``Nauka'', Moscow.","Translated in Math. Models Comput. Simul.","0234-0879","N","N","N","N","N"
"Mat. Sb.","Rossiiskaya Akademiya Nauk. Matematicheskii Sbornik","","``Nauka'', Moscow.","Translated in Sb. Math.","0368-8666","N","Y","N","N","N"
"Mat. Sgodni","Matematika Sogodni","Mathematics Today","``Fakt'', Kiev.","","","N","N","Y","N","N"
"Mat. Soc. Cult. Riv. Unione Mat. Ital. (I)","La Matematica nella Societa e nella Cultura. Rivista della Unione Matematica Italiana. Serie I","","Unione Mat. Ital., Bologna.","","1972-7356","N","N","N","N","N"
"Mat. Stosow.","Matematyka Stosowana. Matematyka dla Spoleczenstwa","","Polsk. Tow. Mat., Warsaw.","","1730-2668","N","Y","N","N","N"
"Mat. Stud.","Matematichni Studii. Pratsi Lvivskogo Matematichnogo Tovaristva","","VNTL Publ., Lviv.","","1027-4634","N","Y","N","N","N"
"Mat. Tr.","Matematicheskie Trudy","","Izdat. Ross. Akad. Nauk Sib. Otd. Inst. Mat., Novosibirsk.","Translated in Siberian Adv. Math.","1560-750X","N","Y","N","N","N"
"Mat. Vesnik","Matematichki Vesnik","","Drustvo Mat. Srbije, Belgrade.","","0025-5165","N","Y","N","N","N"
"Mat. Zametki","Rossiiskaya Akademiya Nauk. Matematicheskie Zametki","","``Nauka'', Moscow.","Translated in Math. Notes","0025-567X","N","Y","N","N","N"
"Mat. Zh.","Matematicheskii Zhurnal. Mathematical Journal","","Resp. Kaz., Minist. Obraz. Nauki, Inst. Mat., Almaty.","","1682-0525","N","Y","N","N","N"
"Matapli","Matapli","","Soc. Math. Appl. Indust., Paris.","","0762-5707","N","N","N","N","N"
"MATCH Commun. Math. Comput. Chem.","MATCH. Communications in Mathematical and in Computer Chemistry","","Univ. Kragujevac, Kragujevac.","","0340-6253","N","N","N","N","N"
"Matematiche (Catania)","Le Matematiche","","Dip. Inform. Mat. Univ. Catania, Catania.","","0373-3505","N","Y","N","N","N"
"Matematika (Johor Bahru)","Matematika (Johor Bahru)","","Universiti Teknologi Malaysia, Skudai.","","0127-8274","Y","N","N","N","N"
"Math-for-Ind. Lect. Note Ser.","Math-for-Industry Lecture Note Series","","Kyushu Univ. Fac. Math., Fukuoka.","","","N","N","Y","N","N"
"Math-Rech. Appl.","Math-Recherche et Applications","","Math-Rech. Appl., Kenitra.","","","N","Y","N","N","N"
"Math. AEterna","Mathematica AEterna","","Hilaris, LTD, Ruse.","","1314-3344","Y","N","N","N","N"
"Math. Anal. Tech. Appl. Eng.","Mathematical and Analytical Techniques with Applications to Engineering","","Springer, Dordrecht.","","","N","N","Y","N","N"
"Math. Ann.","Mathematische Annalen","","Springer, Berlin.","","0025-5831","N","Y","N","N","N"
"Math. Appl. (Berlin)","Mathematiques & Applications (Berlin)","Mathematics & Applications","Springer, Berlin.","","1154-483X","N","N","Y","N","N"
"Math. Appl. (Wuhan)","Mathematica Applicata. Yingyong Shuxue","","Math. Appl. Editor. Dept., Wuhan.","","1001-9847","N","Y","N","N","N"
"Math. Balkanica (N.S.)","Mathematica Balkanica. New Series","","Bulgar. Acad. Sci., Sofia.","","0205-3217","N","Y","N","N","N"
"Math. Biosci.","Mathematical Biosciences","","Elsevier Ltd, Oxford.","","0025-5564","N","N","N","N","N"
"Math. Biosci. Eng.","Mathematical Biosciences and Engineering. MBE","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","1547-1063","N","Y","N","N","N"
"Math. Biosci. Interact.","Mathematics and Biosciences in Interaction","","Birkhauser, Basel.","","","N","N","Y","N","N"
"Math. Biosci. Subser.","Mathematical Biosciences Subseries","","Springer, Berlin.","See also Lecture Notes in Math.","","N","N","Y","N","N"
"Math. Bohem.","Academy of Sciences of the Czech Republic. Mathematical Institute. Mathematica Bohemica","","Acad. Sci. Czech Repub. Inst. Math., Prague.","","0862-7959","N","Y","N","N","N"
"Math. Chem. Monogr.","Mathematical Chemistry Monographs","","Univ. Kragujevac, Kragujevac.","","","N","N","Y","N","N"
"Math. Commun.","Mathematical Communications","","Croatian Math. Soc. Div. Osijek, Osijek.","","1331-0623","N","Y","N","N","N"
"Math. Comp.","Mathematics of Computation","","Amer. Math. Soc., Providence, RI.","","0025-5718","N","Y","N","N","N"
"Math. Comput. Appl.","Mathematical & Computational Applications","","Assoc. Sci. Res., Manisa.","","1300-686X","N","N","N","N","N"
"Math. Comput. Lang. Life Front. Math. Linguist. Lang. Theory","Mathematics, Computing, Language, and Life: Frontiers in Mathematical Linguistics and Language Theory","","Imp. Coll. Press, London.","","2042-1044","Y","N","Y","N","N"
"Math. Comput. Model. Dyn. Syst.","Mathematical and Computer Modelling of Dynamical Systems. Methods, Tools and Applications in Engineering and Related Sciences","","Taylor & Francis, Abingdon.","","1387-3954","N","N","N","N","N"
"Math. Comput. Modelling","Mathematical and Computer Modelling","","Elsevier Ltd, Oxford.","","0895-7177","N","N","N","N","N"
"Math. Comput. Sci.","Mathematics in Computer Science","","Birkhauser, Basel.","","1661-8270","N","N","N","N","N"
"Math. Comput. Sci. Eng.","Mathematics and Computers in Science and Engineering","","WSEAS Press, Athens.","","1790-2769","N","N","Y","N","N"
"Math. Comput. Simulation","Mathematics and Computers in Simulation","","Elsevier Sci. B. V., Amsterdam.","","0378-4754","N","N","N","N","N"
"Math. Control Relat. Fields","Mathematical Control and Related Fields","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","","2156-8472","Y","N","N","N","N"
"Math. Control Signals Systems","Mathematics of Control, Signals, and Systems","","Springer, Godalming.","","0932-4194","N","Y","N","N","N"
"Math. Econ.","Mathematics in Economics. Jingji Shuxue","","Math. Econ., Editor. Comm., Changsha.","","1007-1660","N","N","N","N","N"
"Math. Ed. (Siwan)","The Mathematics Education","","Math. Ed., Siwan.","","0047-6269","N","N","N","N","N"
"Math. Eng.","Mathematical Engineering","","Springer, Berlin.","","","N","N","Y","N","N"
"Math. Financ. Econ.","Mathematics and Financial Economics","","Springer, Berlin.","","1862-9679","N","N","N","N","N"
"Math. Finance","Mathematical Finance. An International Journal of Mathematics, Statistcs and Financial Economics","","Wiley-Blackwell, Malden, MA.","","0960-1627","N","N","N","N","N"
"Math. Finance Risk","Mathematics, Finance and Risk","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Math. Forum","Mathematical Forum","","Dibrugarh Univ., Dibrugarh.","","0972-9852","N","Y","N","N","N"
"Math. Geosci.","Mathematical Geosciences","","Springer, Berlin.","","1874-8961","N","N","N","N","N"
"Math. Ind.","Mathematics in Industry","","Springer, Heidelberg.","See also Eur. Consort. Math. Ind. (Berl.)","","N","N","Y","N","N"
"Math. Inequal. Appl.","Mathematical Inequalities & Applications","","ELEMENT, Zagreb.","","1331-4343","N","Y","N","N","N"
"Math. Intelligencer","The Mathematical Intelligencer","","Springer, New York.","","0343-6993","N","N","N","N","N"
"Math. J. Ibaraki Univ.","Mathematical Journal of Ibaraki University","","Ibaraki Univ., Mito.","","1343-3636","N","Y","N","N","N"
"Math. J. Okayama Univ.","Mathematical Journal of Okayama University","","Okayama Univ., Dept. Math., Fac. Sci., Okayama.","","0030-1566","N","Y","N","N","N"
"Math. Kompakt","Mathematik Kompakt","Compact Mathematics","Birkhauser Verlag, Basel.","","","N","N","Y","N","N"
"Math. Logic Found.","Mathematical Logic and Foundations","","Coll. Publ., London.","See also Stud. Log. (Lond.)","","N","N","Y","N","N"
"Math. Maced.","Mathematica Macedonica","","St. Cyril Methodius Univ., Skopje.","","1409-9721","N","Y","N","N","N"
"Math. Mag.","Mathematics Magazine","","Math. Assoc. America, Washington, DC.","","0025-570X","N","N","N","N","N"
"Math. Math. Model.","Mathematics and Mathematical Modelling","","Publibook, Paris.","","1950-6856","N","N","Y","N","N"
"Math. Mech. Solids","Mathematics and Mechanics of Solids","","Sage, Thousand Oaks, CA.","","1081-2865","N","N","N","N","N"
"Math. Med. Biol.","Mathematical Medicine and Biology. A Journal of the IMA","","Oxford Univ. Press, Oxford.","","1477-8599","N","N","N","N","N"
"Math. Methods Appl. Sci.","Mathematical Methods in the Applied Sciences","","Wiley-Blackwell, Chichester.","","0170-4214","N","Y","N","N","N"
"Math. Methods Econ. Finance","Mathematical Methods in Economics and Finance","","Univ. Ca' Foscari Venezia, Venice.","","1971-6419","N","N","N","N","N"
"Math. Methods Oper. Res.","Mathematical Methods of Operations Research","","Physica, Heidelberg.","","1432-2994","N","Y","N","N","N"
"Math. Methods Statist.","Mathematical Methods of Statistics","","Allerton, New York.","","1066-5307","N","Y","N","N","N"
"Math. Model. Anal.","Mathematical Modelling and Analysis. Matematinis Modeliavimis ir Analize. The Baltic Journal on Mathematical Applications, Numerical Analysis and Differential Equations","","Technika, Vilnius.","Continued as Math. Model. Anal.","1392-6292","N","N","N","N","N"
"Math. Model. Anal.","Mathematical Modelling and Analysis","","Taylor & Francis, Abingdon.","Formerly Math. Model. Anal.","1392-6292","Y","N","N","N","N"
"Math. Model. Comput.","Mathematical Modeling and Computation","","SIAM, Philadelphia, PA.","","","N","N","Y","N","N"
"Math. Model. Nat. Phenom.","Mathematical Modelling of Natural Phenomena","","EDP Sci., Les Ulis.","","0973-5348","N","Y","N","N","N"
"Math. Model. Theory Appl.","Mathematical Modelling: Theory and Applications","","Springer, New York.","","","N","N","Y","N","N"
"Math. Models Comput. Simul.","Mathematical Models and Computer Simulations","","MAIK Nauka/Interperiod. Publ., Moscow.","Translation of Mat. Model.","2070-0482","N","N","N","N","N"
"Math. Models Methods Appl. Sci.","Mathematical Models & Methods in Applied Sciences","","World Sci. Publ., Singapore.","","0218-2025","N","Y","N","N","N"
"Math. Monogr. Ser.","Mathematics Monograph Series","","Sci. Press Beijing, Beijing.","","","N","N","Y","N","N"
"Math. Montisnigri","Mathematica Montisnigri. Matematika Tsrne Gore","","Soc. Math. Phys. Montenegro, Podgorica.","","0354-2238","N","Y","N","N","N"
"Math. Morav.","Mathematica Moravica","","Univ. Kragujevac, Tech. Fac. Cacak, Cacak.","","1450-5932","N","Y","N","N","N"
"Math. Nachr.","Mathematische Nachrichten","","Wiley-VCH Verlag, Berlin.","","0025-584X","N","Y","N","N","N"
"Math. Nat. Sci.","Mathematics and Natural Sciences","","South-West Univ. "Neofit Rilsky", Blagoevgrad.","","1314-0272","Y","N","Y","N","N"
"Math. Notae","Mathematicae Notae. Boletin del Instituto de Matematica ``Beppo Levi''","","UNR Editor., Rosario.","","0025-553X","N","Y","N","N","N"
"Math. Notes","Mathematical Notes","","Pleiades Publishing, Ltd., Road Town.","Translation of Mat. Zametki","0001-4346","N","N","N","N","N"
"Math. Numer. Sin.","Mathematica Numerica Sinica. Jisuan Shuxue","","Math. Numer. Sin., Editor. Dept., Beijing.","","0254-7791","N","Y","N","N","N"
"Math. Olymp. Ser.","Mathematical Olympiad Series","","World Sci. Publ., Hackensack, NJ.","","1793-8570","N","N","Y","N","N"
"Math. Oper. Res.","Mathematics of Operations Research","","INFORMS, Hanover, MD.","","0364-765X","N","Y","N","N","N"
"Math. Pannon.","Mathematica Pannonica","","Math. Pannonica, Editor. Board, Budapest.","","0865-2090","N","Y","N","N","N"
"Math. Phys. Anal. Geom.","Mathematical Physics, Analysis and Geometry. An International Journal Devoted to the Theory and Applications of Analysis and Geometry to Physics","","Springer, Dordrecht.","","1385-0172","N","Y","N","N","N"
"Math. Phys. Electron. J.","Mathematical Physics Electronic Journal","","Univ. Barcelona, Dep. Mat. Apl. Anal., Barcelona.","","1086-6655","N","Y","N","N","N"
